year,topic
2021,10
2021,11
2021,0
2021,0
2021,29
2021,0
2021,-1
2021,-1
2021,8
2021,3
2021,-1
2021,22
2021,-1
2021,1
2021,0
2021,5
2021,-1
2021,-1
2021,-1
2021,-1
2021,0
2021,22
2021,32
2021,4
2021,0
2021,5
2021,20
2021,-1
2021,-1
2021,19
2021,1
2021,9
2021,-1
2021,8
2021,-1
2021,15
2021,0
2021,9
2021,4
2021,26
2021,-1
2021,-1
2021,0
2021,3
2021,4
2021,29
2021,-1
2021,-1
2021,0
2021,3
2021,0
2021,9
2021,-1
2021,26
2021,-1
2021,0
2021,-1
2021,5
2021,-1
2021,13
2021,12
2021,-1
2021,-1
2021,18
2021,5
2021,0
2021,5
2021,12
2021,2
2021,5
2021,0
2021,2
2021,4
2021,12
2021,-1
2021,3
2021,2
2021,0
2021,7
2021,26
2021,23
2021,0
2021,0
2021,15
2021,26
2021,18
2021,1
2021,12
2021,5
2021,20
2021,0
2021,3
2021,-1
2021,28
2021,2
2021,-1
2021,1
2021,-1
2021,-1
2021,21
2021,11
2021,4
2021,14
2021,-1
2021,21
2021,0
2021,17
2021,34
2021,12
2021,6
2021,15
2021,14
2021,5
2021,11
2021,-1
2021,2
2021,7
2021,8
2021,4
2021,24
2021,20
2021,-1
2021,2
2021,20
2021,0
2021,2
2021,9
2021,3
2021,11
2021,13
2021,17
2021,26
2021,5
2021,5
2021,-1
2021,-1
2021,34
2021,13
2021,5
2021,-1
2021,-1
2021,14
2021,7
2021,1
2021,18
2021,6
2021,-1
2021,9
2021,28
2021,5
2021,7
2021,2
2021,1
2021,0
2021,2
2021,0
2021,26
2021,11
2021,17
2021,8
2021,2
2021,20
2021,1
2021,1
2021,-1
2021,-1
2021,12
2021,-1
2021,6
2021,16
2021,31
2021,0
2021,16
2021,-1
2021,5
2021,6
2021,6
2021,14
2021,-1
2021,17
2021,2
2021,-1
2021,-1
2021,6
2021,6
2021,2
2021,13
2021,-1
2021,2
2021,-1
2021,2
2021,16
2021,-1
2021,19
2021,-1
2021,-1
2021,13
2021,6
2021,0
2021,0
2021,1
2021,0
2021,-1
2021,30
2021,13
2021,5
2021,-1
2021,1
2021,-1
2021,1
2021,11
2021,1
2021,3
2021,8
2021,25
2021,-1
2021,3
2021,19
2021,25
2021,19
2021,3
2021,3
2021,-1
2021,5
2021,5
2021,5
2021,9
2021,5
2021,6
2021,20
2021,-1
2021,5
2021,11
2021,7
2021,-1
2021,5
2021,-1
2021,11
2021,-1
2021,10
2021,-1
2021,31
2021,-1
2021,-1
2021,2
2021,10
2021,2
2021,-1
2021,5
2021,-1
2021,7
2021,-1
2021,22
2021,0
2021,6
2021,5
2021,5
2021,22
2021,5
2021,1
2021,4
2021,0
2021,21
2021,-1
2021,0
2021,2
2021,4
2021,7
2021,0
2021,-1
2021,-1
2021,2
2021,8
2021,-1
2021,12
2021,9
2021,28
2021,0
2021,1
2021,12
2021,-1
2021,26
2021,29
2021,4
2021,34
2021,0
2021,-1
2021,-1
2021,17
2021,33
2021,10
2021,0
2021,-1
2021,9
2021,0
2021,33
2021,4
2021,1
2021,8
2021,16
2021,4
2021,-1
2021,5
2021,1
2021,-1
2021,25
2021,0
2021,20
2021,0
2021,6
2021,0
2021,21
2021,-1
2021,0
2021,-1
2022,0
2022,0
2022,7
2022,32
2022,30
2022,17
2022,6
2022,14
2022,-1
2022,2
2022,-1
2022,3
2022,19
2022,0
2022,14
2022,0
2022,-1
2022,13
2022,-1
2022,0
2022,15
2022,1
2022,-1
2022,5
2022,3
2022,0
2022,-1
2022,-1
2022,18
2022,32
2022,0
2022,-1
2022,1
2022,-1
2022,0
2022,0
2022,13
2022,-1
2022,-1
2022,-1
2022,1
2022,0
2022,-1
2022,2
2022,-1
2022,26
2022,2
2022,0
2022,0
2022,0
2022,5
2022,19
2022,4
2022,0
2022,-1
2022,0
2022,-1
2022,-1
2022,2
2022,-1
2022,13
2022,5
2022,2
2022,14
2022,-1
2022,-1
2022,13
2022,-1
2022,1
2022,-1
2022,-1
2022,-1
2022,10
2022,10
2022,27
2022,0
2022,2
2022,4
2022,-1
2022,0
2022,-1
2022,-1
2022,29
2022,-1
2022,9
2022,-1
2022,19
2022,-1
2022,0
2022,21
2022,-1
2022,9
2022,28
2022,-1
2022,0
2022,1
2022,-1
2022,1
2022,10
2022,4
2022,5
2022,-1
2022,14
2022,27
2022,1
2022,10
2022,-1
2022,-1
2022,31
2022,2
2022,0
2022,15
2022,10
2022,-1
2022,21
2022,-1
2022,0
2022,32
2022,7
2022,-1
2022,0
2022,5
2022,12
2022,0
2022,23
2022,4
2022,4
2022,33
2022,-1
2022,-1
2022,-1
2022,0
2022,-1
2022,14
2022,20
2022,-1
2022,2
2022,0
2022,28
2022,-1
2022,11
2022,-1
2022,11
2022,7
2022,0
2022,1
2022,22
2022,33
2022,-1
2022,13
2022,0
2022,4
2022,5
2022,15
2022,14
2022,0
2022,-1
2022,4
2022,-1
2022,2
2022,0
2022,8
2022,5
2022,-1
2022,9
2022,3
2022,8
2022,-1
2022,1
2022,-1
2022,2
2022,-1
2022,2
2022,31
2022,4
2022,0
2022,1
2022,20
2022,28
2022,-1
2022,9
2022,9
2022,26
2022,-1
2022,-1
2022,0
2022,22
2022,4
2022,29
2022,16
2022,0
2022,11
2022,0
2022,-1
2022,2
2022,0
2022,3
2022,-1
2022,4
2022,0
2022,9
2022,-1
2022,3
2022,1
2022,1
2022,2
2022,3
2022,18
2022,-1
2022,3
2022,29
2022,3
2022,-1
2022,3
2022,-1
2022,11
2022,3
2022,-1
2022,2
2022,11
2022,3
2022,24
2022,14
2022,6
2022,34
2022,5
2022,18
2022,-1
2022,25
2022,-1
2022,-1
2022,5
2022,9
2022,-1
2022,-1
2022,0
2022,30
2022,2
2022,2
2022,10
2022,0
2022,2
2022,0
2022,-1
2022,3
2022,1
2022,13
2022,9
2022,10
2022,27
2022,2
2022,2
2022,13
2022,13
2022,5
2022,-1
2022,-1
2022,-1
2022,-1
2022,31
2022,-1
2022,6
2022,22
2022,5
2022,12
2022,2
2022,5
2022,3
2022,0
2022,0
2022,8
2022,4
2022,-1
2022,0
2022,-1
2022,15
2022,6
2022,-1
2022,-1
2022,3
2022,6
2022,13
2022,30
2022,-1
2022,-1
2022,2
2022,-1
2022,0
2022,1
2022,-1
2022,-1
2022,1
2022,-1
2022,-1
2022,2
2022,7
2022,5
2022,4
2022,11
2022,14
2022,6
2022,2
2022,-1
2022,26
2022,18
2022,0
2022,-1
2022,-1
2022,-1
2022,0
2022,17
2022,0
2022,-1
2022,2
2022,30
2022,4
2022,8
2022,0
2022,11
2022,4
2022,10
2022,1
2022,0
2022,2
2022,12
2022,13
2022,28
2022,8
2022,17
2022,26
2022,16
2022,6
2022,26
2022,4
2022,4
2022,0
2022,-1
2022,-1
2022,21
2022,-1
2022,26
2022,28
2022,-1
2022,1
2022,-1
2022,21
2022,0
2022,9
2022,19
2022,11
2022,12
2022,10
2022,5
2022,9
2022,9
2023,6
2023,14
2023,4
2023,0
2023,-1
2023,1
2023,1
2023,27
2023,0
2023,23
2023,-1
2023,12
2023,12
2023,-1
2023,0
2023,10
2023,19
2023,22
2023,-1
2023,2
2023,-1
2023,4
2023,-1
2023,0
2023,21
2023,-1
2023,2
2023,-1
2023,0
2023,34
2023,18
2023,-1
2023,0
2023,10
2023,6
2023,3
2023,4
2023,-1
2023,-1
2023,1
2023,4
2023,16
2023,4
2023,11
2023,26
2023,8
2023,-1
2023,-1
2023,4
2023,-1
2023,-1
2023,9
2023,0
2023,3
2023,0
2023,1
2023,17
2023,-1
2023,14
2023,0
2023,1
2023,8
2023,2
2023,4
2023,-1
2023,1
2023,0
2023,29
2023,-1
2023,0
2023,12
2023,-1
2023,-1
2023,2
2023,12
2023,21
2023,31
2023,3
2023,13
2023,-1
2023,1
2023,1
2023,-1
2023,23
2023,-1
2023,12
2023,20
2023,-1
2023,14
2023,15
2023,0
2023,0
2023,-1
2023,-1
2023,2
2023,-1
2023,1
2023,-1
2023,-1
2023,0
2023,0
2023,15
2023,1
2023,31
2023,0
2023,2
2023,1
2023,-1
2023,-1
2023,14
2023,-1
2023,16
2023,-1
2023,12
2023,-1
2023,-1
2023,4
2023,34
2023,-1
2023,-1
2023,22
2023,4
2023,-1
2023,2
2023,8
2023,-1
2023,18
2023,19
2023,22
2023,2
2023,0
2023,0
2023,6
2023,15
2023,-1
2023,21
2023,0
2023,19
2023,19
2023,23
2023,30
2023,2
2023,-1
2023,2
2023,-1
2023,2
2023,16
2023,0
2023,11
2023,-1
2023,3
2023,31
2023,-1
2023,-1
2023,29
2023,10
2023,-1
2023,2
2023,2
2023,26
2023,-1
2023,11
2023,1
2023,7
2023,-1
2023,0
2023,0
2023,7
2023,-1
2023,0
2023,22
2023,7
2023,-1
2023,2
2023,9
2023,15
2023,6
2023,6
2023,-1
2023,1
2023,-1
2023,-1
2023,-1
2023,0
2023,-1
2023,12
2023,5
2023,0
2023,1
2023,-1
2023,-1
2023,-1
2023,4
2023,11
2023,3
2023,0
2023,8
2023,2
2023,10
2023,-1
2023,-1
2023,13
2023,17
2023,-1
2023,-1
2023,13
2023,0
2023,20
2023,0
2023,-1
2023,-1
2023,3
2023,3
2023,7
2023,1
2023,0
2023,3
2023,0
2023,0
2023,3
2023,18
2023,18
2023,3
2023,1
2023,-1
2023,19
2023,-1
2023,3
2023,1
2023,-1
2023,1
2023,3
2023,3
2023,10
2023,3
2023,-1
2023,-1
2023,3
2023,3
2023,10
2023,3
2023,-1
2023,-1
2023,13
2023,-1
2023,12
2023,6
2023,31
2023,31
2023,-1
2023,0
2023,-1
2023,-1
2023,6
2023,16
2023,0
2023,5
2023,18
2023,14
2023,7
2023,-1
2023,22
2023,2
2023,26
2023,9
2023,1
2023,0
2023,-1
2023,32
2023,2
2023,12
2023,3
2023,5
2023,0
2023,16
2023,10
2023,11
2023,-1
2023,13
2023,-1
2023,5
2023,1
2023,0
2023,-1
2023,-1
2023,14
2023,2
2023,0
2023,7
2023,7
2023,-1
2023,1
2023,-1
2023,-1
2023,19
